"","Age","NumbLines","CustTime","MthIncome","BillAmount","TimeCurAdrr","Region","CableTV","AutDebt","Churn"
"76",28,2,18.9,7236,895.05,6.348,"C","YES","NO","NO"
"77",37,1,22.05,7680,1659.15,0.644,"A","NO","YES","NO"
"78",36,2,19.95,6432,554.85,5.152,"A","NO","YES","NO"
"79",30,1,19.95,6228,579.15,3.496,"A","YES","YES","YES"
"80",35,2,21,6024,457.65,1.748,"C","YES","NO","NO"
"81",29,3,16.8,7596,1173.15,6.256,"A","NO","NO","NO"
"82",34,1,25.2,8244,718.2,3.496,"D","YES","NO","NO"
"83",39,1,19.95,6972,1671.3,4.968,"B","NO","YES","NO"
"84",39,1,26.25,7344,616.95,1.748,"C","YES","YES","NO"
"85",44,1,13.65,6564,1070.55,5.152,"D","YES","YES","NO"
"86",28,1,22.05,6360,500.85,2.208,"D","YES","NO","NO"
"87",40,1,22.05,7212,459,4.968,"C","YES","NO","NO"
"88",41,2,32.55,11124,1202.85,2.668,"D","NO","NO","NO"
"89",51,1,42,14256,2492.1,4.232,"C","YES","NO","NO"
"90",35,1,21,6504,1285.2,3.772,"C","YES","YES","NO"
"91",46,1,18.9,7680,315.9,7.82,"B","NO","YES","NO"
"92",47,1,14.7,7680,638.55,5.98,"D","NO","NO","NO"
"93",26,1,19.95,7332,414.45,7.084,"C","YES","YES","NO"
"94",30,1,21,7488,471.15,5.152,"B","YES","NO","NO"
"95",35,2,15.75,6816,1370.25,4.232,"D","YES","NO","NO"
"96",27,3,14.7,6660,1178.55,0.46,"B","YES","NO","NO"
"97",27,2,14.7,6720,762.75,3.496,"D","YES","YES","NO"
"98",41,1,26.25,6936,581.85,4.416,"C","YES","YES","NO"
"99",36,1,30.45,6972,1309.5,4.232,"A","NO","NO","NO"
"100",32,1,26.25,9804,700.65,3.22,"A","NO","NO","NO"
"101",27,4,12.6,6948,240.3,6.44,"A","YES","NO","NO"
"102",33,1,16.8,6036,446.85,2.024,"C","YES","YES","NO"
"103",55,1,32.55,11964,842.4,3.864,"D","YES","NO","NO"
"104",26,1,13.65,6036,1474.2,5.244,"D","NO","YES","YES"
"105",41,1,14.7,6216,823.5,7.452,"C","YES","YES","NO"
"106",41,2,24.15,11808,176.85,3.128,"C","YES","NO","NO"
"107",42,1,31.5,9432,2509.65,6.532,"A","YES","YES","NO"
"108",32,4,13.65,6420,912.6,2.852,"C","NO","NO","NO"
"109",42,1,27.3,10392,2308.5,4.784,"A","YES","YES","YES"
"110",46,1,13.65,8352,337.5,5.152,"A","YES","YES","NO"
"111",41,1,12.6,6252,201.15,4.048,"B","NO","NO","YES"
"112",30,4,13.65,6372,1282.5,2.852,"B","YES","YES","YES"
"113",42,3,19.95,6192,534.6,6.256,"D","YES","NO","NO"
"114",48,2,38.85,13224,3848.85,6.624,"B","YES","YES","YES"
"115",41,2,16.8,5940,483.3,5.336,"D","NO","NO","NO"
"116",40,2,15.75,6264,276.75,8.004,"A","YES","NO","NO"
"117",27,1,14.7,6360,1223.1,5.888,"A","YES","YES","NO"
"118",39,1,26.25,10452,811.35,6.624,"D","NO","NO","NO"
"119",38,1,18.9,7020,1895.4,5.428,"D","YES","NO","YES"
"120",44,2,30.45,14184,1283.85,4.6,"C","YES","YES","NO"
"121",44,3,24.15,12132,828.9,6.808,"A","YES","YES","NO"
"122",42,1,30.45,9792,770.85,4.784,"C","YES","YES","NO"
"123",48,3,18.9,9708,1765.8,2.668,"C","YES","NO","NO"
"124",32,4,13.65,12924,1891.35,1.84,"B","NO","NO","YES"
"125",49,2,19.95,7344,261.9,7.452,"C","YES","YES","NO"
"126",37,4,14.7,5724,29.7,2.392,"A","NO","NO","YES"
"127",30,1,24.15,7668,274.05,4.048,"D","YES","NO","NO"
"128",38,1,23.1,6000,878.85,3.864,"C","YES","NO","NO"
"129",44,2,29.4,8496,1787.4,5.336,"A","YES","NO","NO"
"130",37,3,12.6,7188,646.65,6.164,"D","YES","NO","NO"
"131",43,2,18.9,6720,907.2,4.968,"C","NO","NO","NO"
"132",38,2,22.05,7956,1549.8,5.428,"A","YES","NO","NO"
"133",29,2,15.75,6180,737.1,8.924,"A","YES","YES","YES"
"134",40,2,26.25,9588,457.65,4.232,"A","NO","YES","NO"
"135",43,1,25.2,13200,1125.9,5.888,"A","YES","YES","NO"
"136",54,1,15.75,6840,198.45,4.048,"C","YES","NO","NO"
"137",47,1,39.9,18204,1336.5,8.004,"A","YES","NO","NO"
"138",28,1,15.75,6192,1422.9,3.496,"C","NO","NO","NO"
"139",32,1,14.7,7500,742.5,6.348,"B","YES","NO","YES"
"140",27,1,15.75,6096,812.7,4.14,"B","NO","NO","YES"
"141",42,1,13.65,6732,1661.85,5.336,"B","YES","NO","YES"
"142",33,1,25.2,7368,1220.4,4.048,"D","YES","NO","NO"
"143",29,1,13.65,6624,739.8,7.176,"B","YES","YES","NO"
"144",40,1,32.55,13068,735.75,6.256,"A","YES","NO","NO"
"145",28,1,17.85,7368,1854.9,1.012,"B","NO","NO","YES"
"146",32,1,13.65,5532,342.9,3.68,"B","YES","YES","YES"
"147",56,1,37.8,13524,2053.35,1.472,"C","YES","NO","NO"
"148",50,1,38.85,9768,201.15,7.36,"A","YES","NO","NO"
"149",61,4,27.3,23784,2289.6,1.932,"B","YES","YES","NO"
"150",46,1,27.3,11544,1347.3,3.22,"B","YES","YES","NO"
"151",44,2,23.1,10128,238.95,3.22,"A","YES","NO","NO"
"152",41,2,23.1,8184,796.5,6.624,"A","NO","YES","NO"
"153",41,1,24.15,8472,622.35,9.568,"A","YES","YES","NO"
"154",36,4,12.6,6576,1498.5,5.244,"B","NO","NO","YES"
"155",47,1,18.9,8244,456.3,6.716,"A","YES","YES","NO"
"156",35,1,24.15,6624,301.05,5.428,"B","YES","NO","NO"
"157",28,2,17.85,5892,842.4,2.3,"B","YES","NO","NO"
"158",31,1,22.05,6624,263.25,3.68,"C","NO","YES","NO"
"159",38,1,31.5,15864,1979.1,5.336,"A","YES","NO","NO"
"160",34,2,24.15,7704,414.45,0.92,"A","NO","NO","NO"
"161",33,2,12.6,6000,311.85,4.14,"B","YES","YES","YES"
"162",34,1,24.15,11472,1659.15,5.152,"D","YES","YES","YES"
"163",49,3,21,14460,286.2,1.748,"A","NO","YES","NO"
"164",38,1,27.3,7896,318.6,5.888,"A","YES","NO","NO"
"165",32,2,13.65,8280,1819.8,3.404,"B","YES","YES","NO"
"166",46,1,29.4,12480,785.7,4.968,"C","NO","NO","NO"
"167",34,4,18.9,7908,1165.05,4.048,"C","YES","NO","NO"
"168",31,1,15.75,7992,596.7,4.14,"B","YES","YES","NO"
"169",46,1,26.25,8208,256.5,3.128,"C","NO","NO","NO"
"170",30,4,15.75,12096,1406.7,2.116,"D","YES","NO","YES"
"171",48,4,21,15576,3613.95,2.484,"D","NO","NO","NO"
"172",44,1,28.35,9492,245.7,2.76,"A","NO","NO","NO"
"173",35,1,13.65,6924,295.65,6.164,"C","YES","YES","NO"
"174",43,1,37.8,15792,2285.55,4.508,"B","YES","NO","NO"
"175",52,2,26.25,14244,765.45,3.036,"C","YES","NO","NO"
"176",26,1,19.95,6168,1136.7,4.784,"C","YES","NO","YES"
"177",23,1,16.8,5940,411.75,4.416,"D","YES","YES","NO"
"178",35,1,23.1,7032,303.75,4.232,"C","NO","YES","NO"
"179",27,1,17.85,6000,387.45,0.092,"D","NO","NO","YES"
"180",29,1,22.05,8628,430.65,6.808,"A","YES","NO","NO"
"181",33,1,19.95,8400,928.8,5.152,"A","YES","NO","NO"
"182",47,1,27.3,8472,197.1,5.888,"C","YES","YES","NO"
"183",50,1,22.05,6408,2467.8,2.392,"C","YES","NO","NO"
"184",34,1,13.65,6624,769.5,6.532,"D","YES","YES","NO"
"185",45,1,23.1,8472,344.25,0.644,"C","YES","YES","NO"
"186",33,1,15.75,6792,457.65,4.968,"B","YES","YES","NO"
"187",46,3,12.6,8244,166.05,4.692,"D","NO","NO","NO"
"188",27,4,13.65,5196,896.4,3.22,"D","NO","YES","YES"
"189",48,1,26.25,12768,4055.4,7.452,"B","YES","YES","YES"
"190",33,3,21,13080,923.4,8.74,"C","YES","YES","NO"
"191",44,3,28.35,19152,1925.1,4.6,"C","YES","NO","NO"
"192",55,2,31.5,7800,193.05,2.3,"A","NO","YES","NO"
"193",35,2,17.85,9984,810,3.404,"C","YES","NO","NO"
"194",39,1,21,7356,635.85,5.244,"B","NO","YES","NO"
"195",44,1,14.7,6264,548.1,4.232,"A","NO","NO","NO"
"196",40,1,16.8,6756,279.45,4.876,"B","YES","NO","YES"
"197",37,2,14.7,5496,1058.4,5.244,"C","NO","YES","NO"
"198",43,1,23.1,6552,467.1,6.44,"A","YES","YES","NO"
"199",35,1,26.25,8112,1634.85,4.416,"A","YES","YES","NO"
"200",33,1,26.25,6948,2131.65,1.932,"B","YES","NO","YES"
"201",33,3,21,9504,1660.5,3.772,"D","NO","NO","YES"
"202",31,2,12.6,6636,680.4,4.232,"A","YES","YES","YES"
"203",29,1,17.85,5988,611.55,3.68,"D","YES","NO","NO"
"204",34,1,19.95,6096,847.8,4.048,"D","NO","NO","NO"
"205",32,1,15.75,5544,311.85,5.52,"A","NO","NO","NO"
"206",50,2,30.45,17796,4170.15,3.772,"B","YES","NO","YES"
"207",33,1,24.15,8124,172.8,1.932,"D","YES","NO","NO"
"208",37,1,26.25,7752,1424.25,3.496,"D","YES","NO","NO"
"209",34,1,13.65,5868,966.6,4.968,"D","YES","NO","NO"
"210",43,2,17.85,10260,1210.95,1.564,"A","YES","NO","NO"
"211",28,1,19.95,6300,1066.5,5.06,"D","NO","NO","NO"
"212",50,2,27.3,10932,3207.6,7.728,"A","NO","NO","NO"
"213",35,4,14.7,7812,64.8,5.796,"D","YES","NO","NO"
"214",27,1,13.65,5748,1799.55,3.312,"D","YES","NO","YES"
"215",38,2,26.25,12024,481.95,2.576,"A","YES","NO","NO"
"216",37,4,12.6,9000,81,7.084,"A","YES","YES","NO"
"217",46,2,31.5,17436,400.95,4.968,"D","NO","NO","NO"
"218",28,1,12.6,5376,799.2,6.44,"B","YES","YES","YES"
"219",36,2,28.35,11028,1605.15,4.508,"A","NO","NO","NO"
"220",25,1,13.65,6600,1660.5,1.656,"A","NO","NO","YES"
"221",36,1,13.65,5700,1111.05,1.84,"B","NO","YES","YES"
"222",37,1,31.5,11532,1607.85,5.52,"A","YES","NO","NO"
"223",33,1,16.8,8544,1655.1,9.2,"D","NO","NO","YES"
"224",39,2,21,8088,1062.45,4.692,"A","YES","NO","NO"
"225",35,1,19.95,6156,737.1,1.38,"C","YES","NO","NO"
"226",39,1,25.2,9624,814.05,8.74,"D","YES","NO","NO"
"227",42,1,30.45,8508,558.9,3.864,"D","YES","NO","NO"
"228",35,1,24.15,8124,237.6,3.588,"A","YES","YES","NO"
"229",37,3,18.9,6864,576.45,5.428,"C","YES","NO","NO"
"230",45,1,17.85,6348,190.35,4.416,"D","YES","NO","NO"
"231",50,1,32.55,13032,1258.2,5.428,"D","YES","NO","NO"
"232",51,1,37.8,12588,2332.8,4.6,"D","YES","YES","NO"
"233",38,2,26.25,8364,457.65,7.544,"A","YES","NO","NO"
"234",36,2,25.2,11532,1094.85,3.404,"D","YES","NO","NO"
"235",34,1,22.05,6648,193.05,5.152,"D","NO","NO","NO"
"236",37,1,18.9,6480,846.45,6.532,"D","YES","NO","NO"
"237",28,2,12.6,6744,918,2.116,"B","YES","NO","NO"
"238",24,3,12.6,6756,1156.95,6.532,"C","NO","NO","YES"
"239",52,2,34.65,23736,1836,7.544,"B","NO","YES","NO"
"240",34,4,19.95,7152,205.2,4.324,"A","YES","YES","NO"
"241",25,2,14.7,6408,746.55,3.404,"C","YES","NO","YES"
"242",35,1,17.85,6000,1020.6,7.912,"D","NO","NO","YES"
"243",45,2,32.55,13620,1568.7,0.644,"D","YES","NO","YES"
"244",32,1,17.85,5904,1556.55,5.888,"D","YES","YES","YES"
"245",42,3,23.1,7524,967.95,4.14,"A","YES","YES","NO"
"246",29,1,13.65,6276,502.2,6.992,"A","NO","YES","NO"
"247",29,1,18.9,6264,599.4,4.876,"A","YES","NO","NO"
"248",42,1,13.65,6468,534.6,2.76,"A","YES","YES","NO"
"249",38,3,16.8,8100,1252.8,6.164,"B","NO","YES","YES"
"250",48,1,24.15,8856,346.95,4.416,"C","NO","YES","NO"
"251",44,1,37.8,12876,1167.75,4.324,"A","NO","NO","NO"
"252",28,1,15.75,5988,896.4,5.152,"B","YES","NO","NO"
"253",49,1,18.9,9708,403.65,6.164,"A","YES","YES","NO"
"254",24,1,12.6,5052,1534.95,5.796,"D","YES","NO","YES"
"255",26,2,14.7,10404,854.55,2.484,"D","YES","NO","YES"
"256",36,3,25.2,11964,1610.55,4.324,"D","YES","YES","NO"
"257",40,4,15.75,9564,359.1,2.944,"B","YES","YES","NO"
"258",29,1,18.9,6228,62.1,2.576,"B","YES","NO","NO"
"259",29,1,23.1,5796,637.2,2.3,"C","NO","NO","NO"
"260",41,1,17.85,6708,86.4,3.772,"A","NO","NO","NO"
"261",33,1,27.3,7176,835.65,2.392,"C","YES","NO","NO"
"262",40,4,15.75,9744,1194.75,1.196,"A","NO","NO","YES"
"263",37,3,14.7,7620,1098.9,4.416,"A","NO","NO","YES"
"264",45,2,21,8220,549.45,6.808,"D","YES","NO","NO"
"265",43,1,28.35,8724,789.75,9.2,"B","YES","NO","YES"
"266",33,1,17.85,6924,257.85,2.208,"D","NO","NO","NO"
"267",39,2,27.3,10548,315.9,3.68,"D","YES","YES","NO"
"268",44,1,17.85,6144,182.25,4.14,"C","NO","YES","NO"
"269",42,2,34.65,19524,1767.15,3.22,"B","YES","NO","NO"
"270",31,1,24.15,6996,573.75,4.876,"A","YES","YES","NO"
"271",39,2,14.7,7560,1394.55,8.556,"D","NO","YES","YES"
"272",48,1,14.7,6612,1000.35,4.232,"C","YES","YES","YES"
"273",47,3,13.65,8184,658.8,3.956,"A","NO","YES","NO"
"274",36,3,19.95,20232,411.75,8.924,"C","YES","NO","NO"
"275",44,1,33.6,11076,355.05,4.508,"D","YES","YES","NO"
"276",56,1,51.45,23268,5543.1,5.704,"C","YES","YES","NO"
"277",30,1,12.6,6288,1142.1,3.956,"B","YES","NO","YES"
"278",27,3,15.75,6192,144.45,2.208,"B","YES","NO","YES"
"279",31,2,19.95,7200,922.05,1.012,"B","YES","NO","NO"
"280",54,1,39.9,19044,1458,1.84,"A","YES","NO","NO"
"281",37,2,27.3,7092,2236.95,6.256,"A","YES","NO","NO"
"282",30,2,12.6,6312,585.9,1.932,"C","YES","YES","NO"
"283",30,3,18.9,7032,332.1,4.876,"A","NO","YES","NO"
"284",35,4,16.8,8676,364.5,7.084,"A","YES","NO","NO"
"285",32,1,19.95,6132,1074.6,4.6,"D","NO","YES","NO"
"286",38,2,18.9,6072,1306.8,8.464,"D","NO","YES","YES"
"287",38,2,29.4,10032,85.05,4.784,"A","NO","NO","NO"
"288",29,2,12.6,5472,827.55,1.196,"D","YES","YES","YES"
"289",45,1,12.6,6096,1189.35,4.14,"B","NO","NO","YES"
"290",31,1,19.95,6360,452.25,4.968,"B","YES","YES","NO"
"291",47,2,30.45,16056,1642.95,7.268,"D","YES","NO","NO"
"292",42,1,23.1,15780,102.6,4.048,"D","NO","NO","NO"
"293",56,1,39.9,16836,2470.5,6.164,"A","YES","NO","NO"
"294",26,1,18.9,6324,1235.25,3.496,"A","YES","YES","YES"
"295",36,1,25.2,8040,500.85,4.876,"D","YES","NO","NO"
"296",39,3,17.85,8304,1902.15,1.656,"B","YES","NO","YES"
"297",44,2,14.7,6324,681.75,7.912,"B","NO","NO","YES"
"298",25,2,12.6,5640,371.25,8.188,"C","NO","YES","NO"
"299",27,1,17.85,6828,955.8,4.784,"C","YES","NO","NO"
"300",32,4,16.8,5460,295.65,7.82,"A","YES","YES","NO"
"301",34,2,13.65,5472,187.65,3.22,"B","YES","YES","NO"
"302",43,2,30.45,12516,615.6,3.956,"C","NO","YES","NO"
"303",39,1,18.9,7440,380.7,3.22,"C","YES","YES","NO"
"304",33,2,24.15,9036,225.45,2.944,"A","NO","NO","NO"
"305",30,2,22.05,7656,1471.5,2.024,"B","YES","YES","NO"
"306",25,1,17.85,6132,611.55,6.256,"D","YES","NO","YES"
"307",29,1,18.9,6576,742.5,6.072,"C","YES","YES","NO"
"308",40,3,12.6,10488,333.45,3.22,"B","YES","NO","YES"
"309",33,1,25.2,9036,1933.2,5.796,"C","YES","YES","NO"
"310",41,1,21,6624,187.65,4.416,"D","YES","NO","NO"
"311",40,2,19.95,9504,263.25,3.864,"B","NO","NO","NO"
"312",34,1,15.75,5544,726.3,2.576,"A","NO","NO","NO"
"313",43,2,12.6,6732,452.25,3.772,"D","NO","NO","NO"
"314",53,4,38.85,44628,4743.9,5.152,"A","YES","NO","NO"
"315",38,1,15.75,5868,342.9,1.38,"C","NO","YES","NO"
"316",32,3,21,11268,1065.15,4.508,"A","YES","NO","NO"
"317",35,1,26.25,10092,573.75,3.496,"D","YES","YES","NO"
"318",31,1,22.05,6480,207.9,6.808,"A","YES","NO","NO"
"319",37,1,18.9,6600,1237.95,5.336,"C","YES","NO","NO"
"320",29,1,15.75,7536,946.35,4.324,"B","NO","NO","YES"
"321",49,3,21,8736,368.55,4.6,"A","YES","NO","NO"
"322",54,1,19.95,7884,565.65,3.68,"D","YES","NO","YES"
"323",41,1,35.7,10176,1197.45,3.588,"A","NO","NO","NO"
"324",48,5,23.1,9096,1729.35,3.864,"A","NO","NO","NO"
"325",48,2,29.4,12060,585.9,7.544,"C","NO","NO","NO"
"326",45,3,19.95,9132,1910.25,5.52,"D","YES","NO","YES"
"327",42,1,33.6,9144,741.15,2.852,"C","YES","NO","NO"
"328",29,1,15.75,6084,841.05,5.888,"C","YES","NO","YES"
"329",48,1,36.75,15708,665.55,3.036,"C","NO","NO","NO"
"330",28,1,21,5784,626.4,5.428,"C","YES","YES","NO"
"331",47,1,31.5,11544,2535.3,6.072,"A","YES","YES","NO"
"332",47,5,18.9,6564,256.5,3.864,"A","YES","NO","NO"
"333",38,2,16.8,12036,954.45,7.452,"D","YES","NO","YES"
"334",27,1,16.8,6048,133.65,2.852,"B","YES","NO","YES"
"335",43,1,27.3,7632,905.85,6.624,"B","NO","NO","NO"
"336",29,1,17.85,5964,1040.85,4.416,"D","YES","NO","NO"
"337",41,1,17.85,7404,434.7,5.06,"C","NO","YES","NO"
"338",45,2,32.55,12684,340.2,5.704,"C","YES","YES","NO"
"339",39,2,15.75,12492,2043.9,3.128,"D","NO","NO","YES"
"340",50,2,25.2,16068,1255.5,7.636,"A","NO","NO","NO"
"341",33,1,21,7008,321.3,1.288,"D","YES","YES","NO"
"342",24,1,13.65,5100,799.2,3.128,"A","YES","NO","NO"
"343",42,1,25.2,10416,449.55,5.704,"D","NO","NO","NO"
"344",24,2,14.7,6012,931.5,5.428,"A","NO","NO","YES"
"345",34,1,19.95,6600,819.45,4.6,"D","YES","NO","NO"
"346",32,1,16.8,6120,660.15,2.116,"C","YES","NO","NO"
"347",48,4,19.95,21924,3392.55,5.06,"A","YES","NO","YES"
"348",43,1,28.35,11016,1317.6,5.612,"A","NO","YES","NO"
"349",32,3,14.7,5580,1125.9,7.82,"B","YES","YES","YES"
"350",28,1,17.85,6096,1140.75,3.864,"A","YES","YES","YES"
"351",43,1,37.8,17004,2443.5,3.588,"A","YES","YES","NO"
"352",30,1,15.75,6132,309.15,3.496,"D","NO","NO","NO"
"353",31,4,16.8,7056,1216.35,0.92,"C","YES","NO","NO"
"354",50,1,36.75,12972,348.3,5.612,"B","YES","NO","YES"
"355",42,1,22.05,9756,639.9,6.256,"A","YES","NO","NO"
"356",42,4,26.25,10200,1728,3.864,"A","YES","YES","NO"
"357",35,3,14.7,6708,275.4,6.164,"A","NO","NO","NO"
"358",31,3,17.85,7620,904.5,3.312,"B","YES","NO","YES"
"359",33,2,12.6,6480,847.8,2.484,"D","YES","NO","NO"
"360",48,1,22.05,6660,198.45,4.6,"D","NO","NO","NO"
"361",56,1,28.35,7956,1664.55,6.164,"A","YES","YES","NO"
"362",44,4,14.7,7056,722.25,5.52,"D","NO","YES","NO"
"363",36,5,16.8,9480,294.3,4.232,"A","NO","YES","NO"
"364",32,1,13.65,5784,210.6,5.244,"A","YES","NO","NO"
"365",31,1,17.85,5652,450.9,4.048,"C","YES","NO","NO"
"366",29,1,21,5928,1964.25,3.496,"D","YES","NO","YES"
"367",31,1,13.65,6576,649.35,4.876,"D","YES","YES","YES"
"368",39,1,16.8,6180,604.8,5.06,"A","NO","NO","NO"
"369",59,1,30.45,12612,1035.45,4.876,"A","YES","NO","NO"
"370",32,2,19.95,7884,1073.25,6.624,"A","YES","NO","NO"
"371",44,1,18.9,7356,993.6,3.404,"D","YES","NO","NO"
"372",35,2,21,9216,361.8,1.38,"A","NO","NO","NO"
"373",28,1,17.85,6156,364.5,6.716,"A","NO","NO","NO"
"374",33,2,22.05,7092,1057.05,4.324,"A","YES","NO","NO"
"375",40,1,12.6,5700,868.05,3.772,"D","YES","YES","YES"
"376",34,1,23.1,6960,383.4,6.532,"B","YES","NO","YES"
"377",43,1,32.55,16272,1085.4,3.772,"C","YES","NO","NO"
"378",32,1,15.75,6804,481.95,6.348,"A","YES","YES","NO"
"379",39,2,17.85,7836,2438.1,1.196,"A","NO","NO","NO"
"380",46,1,35.7,8316,630.45,7.544,"D","YES","NO","NO"
"381",47,1,39.9,13884,195.75,2.576,"A","YES","YES","NO"
"382",55,1,15.75,7572,491.4,7.176,"A","NO","NO","NO"
"383",36,1,29.4,8076,571.05,3.22,"A","YES","YES","NO"
"384",34,2,25.2,10656,1008.45,4.416,"D","YES","NO","NO"
"385",37,1,14.7,6492,720.9,5.336,"A","NO","NO","NO"
"386",28,4,12.6,5580,535.95,5.612,"A","YES","YES","NO"
"387",31,1,23.1,7572,729,4.968,"D","YES","YES","YES"
"388",31,1,24.15,7980,780.3,4.508,"D","NO","YES","NO"
"389",28,1,17.85,6480,595.35,6.9,"D","NO","NO","YES"
"390",40,1,19.95,10644,2012.85,4.692,"A","YES","NO","NO"
"391",49,1,22.05,7116,1559.25,4.508,"D","YES","YES","NO"
"392",46,2,21,7692,264.6,3.128,"B","YES","NO","NO"
"393",27,1,17.85,6180,283.5,1.104,"A","NO","NO","NO"
"394",33,1,26.25,7908,463.05,1.196,"C","YES","YES","NO"
